3.2, n=10, m=100n, A: 0, B: 0
3.2, n=10, m=1000n, A: 0, B: 0
3.2, n=20, m=100n, A: 0, B: 0
3.2, n=20, m=1000n, A: 0, B: 0
3.2, n=30, m=100n, A: 0, B: 0
3.2, n=30, m=1000n, A: 0, B: 0
3.2, n=40, m=100n, A: 0, B: 0
3.2, n=40, m=1000n, A: 0, B: 0
3.2, n=50, m=100n, A: 0, B: 0
3.2, n=50, m=1000n, A: 0, B: 0
3.2, n=60, m=100n, A: 0, B: 0
3.2, n=60, m=1000n, A: 0, B: 0
3.2, n=70, m=100n, A: 0.001713, B: 0
3.2, n=70, m=1000n, A: 0, B: 0
3.2, n=80, m=100n, A: 0, B: 0
3.2, n=80, m=1000n, A: 0.016516, B: 0
3.2, n=90, m=100n, A: 0.011531, B: 0.005132
3.2, n=90, m=1000n, A: 0, B: 0
3.2, n=100, m=100n, A: 0.008748, B: 0
3.2, n=100, m=1000n, A: 0, B: 0
3.2, n=110, m=100n, A: 0, B: 0.015458
3.2, n=110, m=1000n, A: 0.004525, B: 0
3.2, n=120, m=100n, A: 0, B: 0
3.2, n=120, m=1000n, A: 0.014467, B: 0
3.2, n=130, m=100n, A: 0.017861, B: 0.000227
3.2, n=130, m=1000n, A: 0, B: 0.014924
3.2, n=140, m=100n, A: 0.003422, B: 0
3.2, n=140, m=1000n, A: 0.010333, B: 0.016302
3.2, n=150, m=100n, A: 0.006742, B: 0.009419
3.2, n=150, m=1000n, A: 0.010676, B: 0.005477
3.2, n=160, m=100n, A: 0.01377, B: 0
3.2, n=160, m=1000n, A: 0.016312, B: 0.006527
3.2, n=170, m=100n, A: 0.012527, B: 0.003943
3.2, n=170, m=1000n, A: 0.012044, B: 0.004841
3.2, n=180, m=100n, A: 0.015398, B: 0.000936
3.2, n=180, m=1000n, A: 0.017144, B: 0.008053
3.2, n=190, m=100n, A: 0, B: 0.014702
3.2, n=190, m=1000n, A: 0.016724, B: 0
3.2, n=200, m=100n, A: 0.010614, B: 0.004901
3.2, n=200, m=1000n, A: 0.015824, B: 0.011046
